Tempo Classe P1,,,,Valor Classe P1,,,,Tempo Classe P2,,,,Valor Classe P2,,,,Tempo Classe M1,,,,Valor Classe M1,,,,Tempo Classe M2,,,,Valor Classe M2,,,,Tempo Classe G1,,,,Valor Classe G1,,,,Tempo Classe G2,,,,Valor Classe G2,,,
MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT
0.000011,0.000007,0.000014,0.000013,3250,3250,300,117,0.000007,0.000020,0.000014,0.000026,184,192,192,43,0.000063,0.000722,0.000138,0.000187,4275,4280,4100,284,0.000065,0.000573,0.000134,0.000173,198,199,199,86,0.000738,0.000729,0.001745,0.001541,5000,5000,5000,300,0.000756,0.069338,0.001718,0.001559,200,200,200,99
0.000006,0.000021,0.000012,0.000012,2622,2622,420,154,0.000006,0.000031,0.000011,0.000012,166,166,100,33,0.000060,0.000087,0.000137,0.000166,4450,4450,2600,292,0.000061,0.000675,0.000134,0.000157,200,200,200,85,0.000764,0.000720,0.001678,0.002340,4950,4950,4500,298,0.000717,0.070799,0.001621,0.001510,200,200,200,97
0.000006,0.000007,0.000012,0.000012,4000,4000,2780,175,0.000007,0.000006,0.000011,0.000012,190,190,100,92,0.000061,0.000671,0.000137,0.000156,3735,3742,2900,278,0.000062,0.000778,0.000133,0.000157,194,197,199,85,0.000722,0.000728,0.001706,0.001563,4900,4900,3800,298,0.000711,0.066328,0.001616,0.001496,200,200,200,94
0.000006,0.042566,0.000015,0.000013,4275,4280,4100,103,0.000008,0.000020,0.000013,0.000013,192,192,100,39,0.000059,0.000082,0.000147,0.000155,5000,5000,5000,262,0.000061,0.000747,0.000142,0.000159,198,199,200,98,0.000725,0.000770,0.001690,0.001511,4950,4950,4500,295,0.000719,0.056189,0.001645,0.001481,200,200,200,97
0.000007,0.000008,0.000013,0.000012,4275,4280,3300,139,0.000006,0.000032,0.000012,0.000013,198,198,100,54,0.000060,0.000084,0.000137,0.000166,4700,4700,1496,286,0.000061,0.000854,0.000134,0.000162,194,197,198,63,0.000965,0.003999,0.001630,0.001470,4950,4950,4100,299,0.000720,0.058567,0.001626,0.001528,200,200,200,94
0.000006,0.000020,0.000012,0.000013,1595,1595,1400,238,0.000006,0.000030,0.000011,0.000012,196,196,100,86,0.000061,0.001021,0.000140,0.000160,4320,4323,1199,260,0.000062,0.000772,0.000143,0.000163,198,199,200,76,0.000637,0.009231,0.001742,0.001553,5000,5000,5000,300,0.000718,0.055049,0.001621,0.001486,200,200,200,84
0.000006,0.000007,0.000012,0.000012,3850,3850,561,65,0.000006,0.000008,0.000011,0.000012,168,170,155,53,0.000060,0.000108,0.000161,0.000183,4950,4950,3599,281,0.000061,0.000783,0.000137,0.000189,194,197,200,90,0.000713,0.000731,0.001722,0.002809,5000,5000,5000,299,0.000716,0.058085,0.001627,0.001518,200,200,200,99
0.000007,0.000006,0.000012,0.000011,2500,2500,1450,229,0.000006,0.000009,0.000011,0.000012,176,188,188,16,0.000060,0.000105,0.001347,0.000218,5000,5000,5000,278,0.000061,0.000797,0.000134,0.000275,200,200,200,79,0.000825,0.001277,0.001642,0.001519,5000,5000,5000,300,0.000718,0.058157,0.001762,0.001500,198,199,200,100
0.000006,0.000212,0.000011,0.000012,2788,2800,487,230,0.000006,0.000052,0.000011,0.000012,184,187,99,10,0.000062,0.000651,0.000147,0.000159,4455,4456,4100,288,0.000061,0.000800,0.000234,0.000167,200,200,200,99,0.000718,0.000723,0.001648,0.001501,5000,5000,5000,300,0.000723,0.058688,0.001657,0.001494,200,200,200,100
0.000007,0.000012,0.000011,0.000012,2905,2908,485,184,0.000006,0.000022,0.000011,0.000012,188,193,198,32,0.000060,0.000140,0.000137,0.000156,4185,4185,1893,238,0.000061,0.000916,0.000240,0.000206,198,199,200,99,0.000733,0.001026,0.003762,0.001877,4950,4950,3800,300,0.000707,0.064262,0.001613,0.001492,200,200,200,100
0.000006,0.000007,0.000012,0.000012,3735,3735,1883,253,0.000007,0.000021,0.000011,0.000012,200,200,200,100,0.000060,0.000086,0.000188,0.000172,4850,4850,2799,274,0.000061,0.000969,0.000145,0.000163,200,200,200,83,0.000720,0.000715,0.001710,0.001528,4950,4950,4500,292,0.000707,0.063729,0.001921,0.001593,200,200,200,93
0.000006,0.000006,0.000012,0.000012,4100,4100,376,138,0.000007,0.000026,0.000011,0.000012,194,194,99,95,0.000061,0.000618,0.000137,0.000154,4410,4410,2500,148,0.000061,0.000697,0.000133,0.000155,178,189,199,43,0.000758,0.000758,0.001663,0.001486,4950,4950,4100,298,0.000766,0.060039,0.001637,0.001492,198,199,200,95
0.000007,0.658633,0.000015,0.000013,2805,2805,1881,41,0.000007,0.000025,0.000011,0.000012,198,198,198,54,0.000060,0.000095,0.000138,0.000157,4750,4750,2000,230,0.000070,0.000702,0.000133,0.000172,198,199,199,96,0.000715,0.000719,0.001677,0.001499,4950,4950,4500,299,0.000710,0.052817,0.001615,0.001494,200,200,200,100
0.000007,0.018603,0.000015,0.000013,3870,3870,498,196,0.000007,0.000016,0.000011,0.000012,194,195,100,16,0.000060,0.000242,0.000141,0.000172,4410,4410,1898,256,0.000062,0.000760,0.000132,0.000162,198,199,200,40,0.012973,0.000737,0.001726,0.001491,4750,4750,4500,300,0.000715,0.059230,0.001704,0.001490,200,200,200,100
0.000007,0.000007,0.000013,0.000012,4450,4450,2600,215,0.000007,0.000015,0.000011,0.000011,190,193,100,74,0.000060,0.000089,0.000138,0.000170,4600,4600,4100,235,0.000061,0.000821,0.000133,0.000168,200,200,200,57,0.000713,0.000718,0.001661,0.002114,5000,5000,5000,293,0.000709,0.062281,0.001612,0.001547,200,200,200,99
0.000007,0.000011,0.000013,0.000013,2905,2918,938,241,0.000007,0.000014,0.000011,0.000012,182,189,100,62,0.000060,0.000222,0.000138,0.000167,3825,3840,3300,222,0.000061,0.000771,0.000132,0.000159,200,200,200,97,0.000739,0.000737,0.001650,0.001487,4950,4950,4500,292,0.000839,0.063016,0.001634,0.001486,200,200,200,99
0.000007,0.000023,0.000012,0.000012,3960,3968,2500,178,0.000006,0.000023,0.000012,0.000012,160,177,100,92,0.000060,0.000084,0.000137,0.000157,4650,4650,4100,266,0.000061,0.000734,0.000133,0.000155,190,195,200,73,0.000689,0.000720,0.001702,0.001604,4900,4900,4100,292,0.000714,0.053170,0.001773,0.001641,200,200,200,100
0.000006,0.006342,0.000013,0.000012,3600,3612,1872,209,0.000007,0.000014,0.000012,0.000012,180,180,100,89,0.000060,0.000092,0.000138,0.000160,4950,4950,1399,270,0.000061,0.000750,0.000132,0.000157,200,200,200,93,0.000737,0.000731,0.001682,0.001555,5000,5000,5000,299,0.000743,0.056816,0.001609,0.001494,196,198,200,100
0.000007,0.000006,0.000012,0.000012,4100,4100,1482,288,0.000007,0.000016,0.000011,0.000012,200,200,200,66,0.000060,0.000087,0.000137,0.000155,4650,4650,1099,265,0.000061,0.000613,0.000133,0.000154,200,200,200,88,0.000718,0.000709,0.001652,0.001488,4950,4950,3800,291,0.000690,0.059799,0.001644,0.001482,200,200,200,99
0.000006,7.102409,0.000015,0.000013,2842,2842,888,267,0.000007,0.000006,0.000012,0.000012,188,188,100,85,0.000060,0.000110,0.000138,0.000166,4600,4600,4500,280,0.000060,0.000769,0.000143,0.000190,188,194,200,34,0.000743,0.000736,0.001633,0.001474,5000,5000,5000,298,0.000739,0.070557,0.001677,0.001549,200,200,200,98
0.000007,0.000008,0.000012,0.000012,2722,2722,893,144,0.000007,0.000033,0.000012,0.000012,172,184,100,48,0.000060,0.000084,0.000167,0.000159,4600,4600,2900,119,0.000061,0.001151,0.000193,0.000173,200,200,200,90,0.000697,0.000711,0.001689,0.001487,5000,5000,5000,299,0.000723,0.062544,0.001628,0.001478,196,198,200,96
0.000007,0.000018,0.000012,0.000013,3154,3171,2900,168,0.000007,0.000025,0.000011,0.000025,186,193,193,80,0.000061,0.000087,0.000138,0.000182,4550,4550,1097,272,0.000061,0.000835,0.000134,0.000156,196,198,200,80,0.000731,0.000752,0.001654,0.001491,4750,4750,4500,296,0.000732,0.054696,0.001618,0.001509,200,200,200,99
0.000007,0.000009,0.000012,0.000012,2407,2407,685,104,0.000006,0.000030,0.000024,0.000011,188,190,99,39,0.000061,0.000088,0.000137,0.000157,4350,4350,1585,285,0.000061,0.000776,0.000132,0.000157,194,197,200,86,0.000702,0.000719,0.001649,0.001632,5000,5000,5000,300,0.000702,0.055945,0.001748,0.001497,196,198,200,96
0.000007,0.009525,0.000014,0.000012,3690,3695,382,192,0.000007,0.000015,0.000011,0.000011,174,183,100,69,0.000060,0.000088,0.000137,0.000157,4650,4650,3100,255,0.000061,0.000536,0.000133,0.000157,200,200,200,94,0.000744,0.000889,0.001783,0.001478,4850,4850,4500,296,0.000703,0.073662,0.001633,0.001641,200,200,200,99
0.000007,0.000006,0.000012,0.000012,3650,3650,1091,259,0.000006,0.000019,0.000011,0.000012,180,180,173,14,0.000061,0.000095,0.000139,0.000179,4900,4900,798,210,0.000062,0.000919,0.000132,0.000170,196,198,200,53,0.000682,0.000717,0.001680,0.001510,5000,5000,5000,300,0.000721,0.061799,0.001635,0.001504,200,200,200,95
0.000007,0.000051,0.000011,0.000012,3735,3742,597,105,0.000006,0.000026,0.000011,0.000012,184,191,100,93,0.000063,0.000277,0.000138,0.000159,3960,3972,3800,256,0.000062,0.000878,0.000135,0.000159,200,200,200,92,0.000829,0.000740,0.001665,0.001480,4550,4550,4500,300,0.000704,0.058540,0.001762,0.001510,200,200,200,99
0.000007,0.000424,0.000012,0.000012,2262,2262,599,62,0.000007,0.000029,0.000011,0.000012,188,188,100,39,0.000061,0.000092,0.000137,0.000165,4850,4850,2397,197,0.000061,0.000740,0.000132,0.000171,194,197,199,93,0.000697,0.000711,0.001648,0.001518,5000,5000,5000,298,0.001238,0.057134,0.001622,0.001461,200,200,200,99
0.000007,0.000006,0.000011,0.000012,3150,3150,572,141,0.000006,0.000015,0.000011,0.000011,180,187,100,34,0.000061,0.000171,0.000137,0.000157,4275,4275,2095,263,0.000061,0.000598,0.000142,0.000156,198,199,200,78,0.000691,0.000719,0.001684,0.001522,5000,5000,5000,296,0.000749,0.055327,0.001605,0.001515,200,200,200,97
0.000008,0.000069,0.000012,0.000012,1848,1848,600,211,0.000007,0.000015,0.000012,0.000012,194,195,100,73,0.000076,0.000090,0.000137,0.000165,4650,4650,3800,254,0.000061,0.000733,0.000134,0.000159,200,200,200,90,0.000704,0.000718,0.001668,0.001515,5000,5000,5000,300,0.000700,0.060316,0.001613,0.001513,200,200,200,99
0.000006,0.000006,0.000012,0.000012,1500,1500,614,249,0.000007,0.000016,0.000012,0.000012,198,198,100,85,0.000060,0.000603,0.000138,0.000157,4455,4455,1297,188,0.000060,0.000629,0.000132,0.000165,196,198,200,90,0.000693,0.000722,0.001656,0.001542,4950,4950,3800,300,0.000739,0.071785,0.001622,0.001493,200,200,200,99
0.000007,0.000006,0.000012,0.000012,3135,3135,567,155,0.000006,0.000017,0.000011,0.000012,184,191,198,26,0.000103,0.000137,0.000671,0.000229,4800,4800,695,271,0.000061,0.000959,0.000133,0.000157,188,194,200,94,0.000710,0.000717,0.001695,0.001546,4950,4950,4100,300,0.000740,0.062358,0.001626,0.001502,200,200,200,100
0.000007,0.000006,0.000012,0.000011,5000,5000,5000,272,0.000007,0.000014,0.000011,0.000012,178,189,200,56,0.000061,0.000094,0.000192,0.000176,4650,4650,1297,281,0.000062,0.000579,0.000134,0.000167,188,194,200,45,0.000750,0.000709,0.001708,0.001466,4900,4900,3300,300,0.000714,0.062922,0.001635,0.001491,200,200,200,98
0.000007,0.000006,0.000012,0.000033,3000,3000,660,87,0.000007,0.000017,0.000012,0.000013,200,200,200,86,0.000060,0.000114,0.000139,0.000196,4900,4900,1000,279,0.000062,0.000713,0.000358,0.000428,198,199,200,97,0.000697,0.000717,0.001730,0.001512,4950,4950,4100,298,0.000778,0.057775,0.001613,0.001488,200,200,200,95
0.000007,0.000031,0.000012,0.000012,2565,2567,496,236,0.000007,0.000018,0.000012,0.000012,192,196,196,55,0.000061,0.000362,0.000138,0.000160,4500,4500,4500,254,0.000061,0.000633,0.000133,0.000158,200,200,200,75,0.000720,0.000779,0.001690,0.001488,4950,4950,4500,299,0.000708,0.059232,0.001624,0.001495,198,199,200,100
0.000007,0.000006,0.000011,0.000012,2883,2883,1782,126,0.000006,0.000014,0.000011,0.000012,198,198,198,69,0.000060,0.000092,0.000148,0.000159,4950,4950,1196,259,0.000060,0.000526,0.000132,0.000154,198,199,200,83,0.000717,0.000749,0.001732,0.001491,5000,5000,5000,295,0.000698,0.061795,0.001608,0.001478,200,200,200,100
0.000007,2.579086,0.000013,0.000013,2937,2944,500,156,0.000007,0.000025,0.000011,0.000012,186,186,100,98,0.000061,0.000098,0.000158,0.000162,4800,4800,700,221,0.000061,0.000581,0.000134,0.000156,198,199,200,52,0.000716,0.000736,0.001745,0.001476,5000,5000,5000,293,0.000708,0.054549,0.001616,0.001485,198,199,200,97
0.000019,0.000017,0.000011,0.000012,2813,2815,631,208,0.000006,0.000006,0.000011,0.000011,194,194,100,80,0.000061,0.000088,0.000158,0.000171,3800,3800,996,229,0.000061,0.000833,0.000133,0.000157,198,199,200,91,0.000901,0.000715,0.001694,0.001532,4700,4700,3800,293,0.000783,0.057252,0.001630,0.001480,200,200,200,94
0.000006,0.003164,0.000013,0.000012,2263,2264,681,140,0.000006,0.000029,0.000011,0.000012,166,171,100,73,0.000088,0.000207,0.000157,0.000158,4410,4410,1799,274,0.000061,0.000850,0.000132,0.000156,198,199,200,94,0.000698,0.000714,0.001642,0.001479,4850,4850,4500,295,0.000716,0.055139,0.001623,0.001491,198,199,200,96
0.000020,0.000011,0.000012,0.000011,4410,4410,1296,151,0.000006,0.000013,0.000011,0.000012,200,200,200,50,0.000061,0.000287,0.000138,0.000192,3762,3762,1441,277,0.000061,0.000701,0.000142,0.000157,198,199,200,80,0.000857,0.000778,0.001705,0.001475,4950,4950,4500,296,0.000730,0.058088,0.001614,0.001493,200,200,200,100
0.000006,0.000007,0.000011,0.000012,2850,2850,1000,255,0.000007,0.000029,0.000011,0.000012,180,189,100,21,0.000079,0.000108,0.000140,0.000171,4800,4800,2796,177,0.000061,0.000761,0.000131,0.000156,196,198,200,83,0.000699,0.000743,0.001642,0.001492,4850,4850,4500,300,0.000723,0.056147,0.001622,0.001482,200,200,200,97
0.000006,0.000016,0.000011,0.000024,2542,2563,457,119,0.000007,0.000019,0.000011,0.000011,196,196,100,15,0.000061,0.000097,0.000140,0.000165,4700,4700,2099,295,0.000060,0.000774,0.000142,0.000157,198,199,200,19,0.000693,0.000745,0.001757,0.001621,4850,4850,4500,298,0.000751,0.058096,0.001626,0.001459,198,199,200,94
0.000008,0.000008,0.000013,0.000013,2318,2318,519,144,0.000007,0.000019,0.000011,0.000012,194,194,100,84,0.000061,0.000096,0.000138,0.000167,4400,4400,1600,230,0.000060,0.000620,0.000133,0.000163,200,200,200,94,0.000688,0.000722,0.001669,0.001472,5000,5000,5000,296,0.000707,0.057872,0.001647,0.001480,198,199,200,99
0.000006,0.000011,0.000013,0.000013,3306,3306,594,263,0.000006,0.000022,0.000011,0.000012,188,188,100,34,0.000070,0.000103,0.000139,0.000161,4100,4156,4100,240,0.000062,0.000873,0.000134,0.000159,194,197,200,85,0.000715,0.000957,0.001896,0.001622,4850,4850,3597,298,0.000754,0.053826,0.001619,0.001682,200,200,200,97
0.000007,0.000007,0.000012,0.000013,3645,3645,962,220,0.000006,0.000017,0.000012,0.000012,176,180,98,63,0.000072,0.000091,0.000137,0.000160,4800,4800,1298,251,0.000061,0.001079,0.000144,0.000159,194,197,199,74,0.000769,0.000709,0.001664,0.001486,4900,4900,4500,293,0.000708,0.058621,0.001631,0.001498,200,200,200,99
0.000006,0.000013,0.000013,0.000013,4005,4006,786,59,0.000006,0.000015,0.000022,0.000012,194,197,197,62,0.000061,0.000107,0.000138,0.000161,4950,4950,2000,293,0.000061,0.000746,0.000132,0.000155,198,199,200,94,0.000701,0.000738,0.001686,0.001521,5000,5000,5000,297,0.000712,0.056390,0.001639,0.001523,200,200,200,96
0.000008,0.000007,0.000013,0.000013,2602,2602,1494,233,0.000007,0.000007,0.000011,0.000012,194,197,197,62,0.000061,0.000093,0.000148,0.000159,4500,4500,3590,249,0.000061,0.000852,0.000132,0.000155,196,198,200,91,0.000690,0.000719,0.001644,0.001509,5000,5000,5000,298,0.000940,0.057856,0.001628,0.001481,200,200,200,95
0.000007,0.000013,0.000013,0.000013,3290,3290,1264,161,0.000006,0.000018,0.000011,0.000012,182,188,100,92,0.000061,0.000375,0.000137,0.000159,4455,4455,1399,165,0.000060,0.000730,0.000133,0.000156,194,197,200,82,0.000700,0.000735,0.001676,0.001927,4950,4950,3800,289,0.000705,0.063399,0.001652,0.001482,200,200,200,99
0.000007,0.000025,0.000026,0.000012,2480,2480,508,105,0.000006,0.000018,0.000012,0.000012,180,186,100,41,0.000061,0.000110,0.000138,0.000165,4800,4800,2099,265,0.000061,0.000810,0.000133,0.000158,200,200,200,87,0.000712,0.000719,0.001634,0.001478,4950,4950,3599,299,0.000757,0.071811,0.001616,0.001501,200,200,200,99
0.000007,0.000007,0.000013,0.000025,3195,3195,483,98,0.000007,0.000024,0.000012,0.000012,188,188,100,22,0.000061,0.000117,0.000139,0.000174,4500,4500,2099,292,0.000061,0.000774,0.000133,0.000158,200,200,200,79,0.000694,0.000786,0.001652,0.001478,4750,4750,4500,295,0.000737,0.065734,0.001628,0.001506,200,200,200,98
